Obs,Sim1,Sim2,Sim3,Sim4,Sim5,Sim6,Sim7,Sim8,Sim9,Sim10,Sim11,Sim12,Sim13,Sim14,Sim15,Sim16,Sim17,Sim18,Sim19,Sim20
5.738724558,3.2141132,3.4023619,3.004906,4.235418,4.0192757,3.6339407,3.4873576,3.5825808,4.0828857,4.780075,4.2070007,3.898433,4.064391,4.237337,3.5854518,3.6645951,3.1033695,4.205521,4.4972234,3.7438495
5.272918993,3.1639006,3.274222,3.0125413,4.0484567,3.9955454,3.54014,3.3915262,3.527897,4.014647,4.7522836,4.1869044,3.8757422,3.9861684,3.9555044,3.4326122,3.631395,3.110577,4.184525,4.447124,3.710124
5.505821775,3.1571088,3.189922,3.008652,3.887592,3.9745119,3.4706452,3.3088102,3.4901762,3.9420054,4.724525,4.1648693,3.9015207,3.9157174,3.7098913,3.306192,3.6085596,3.118238,4.162527,4.4011083,3.6915245
5.291551216,3.177229,3.1308744,3.0482981,3.7556052,3.9553807,3.419612,3.2407665,3.4658213,3.8699775,4.6975803,4.1416364,3.9354641,3.85282,3.5335846,3.2075315,3.5938237,3.126329,4.140651,4.35788,3.6797516
5.095912879,3.1911302,3.1008008,2.9748347,3.6626165,3.9393988,3.397466,3.1943753,3.4595754,3.8049924,4.673964,4.119187,3.9833004,3.8021579,3.463412,3.147491,3.5898225,3.135586,4.1213202,4.3224473,3.6748748
6.316323458,3.5067923,3.2098222,4.6774263,3.622616,3.9477913,3.4363,3.1786654,3.4842136,3.7520804,4.666079,4.1000733,4.191444,3.7726917,3.554801,3.1432414,3.6040874,3.147195,4.107451,4.309458,3.737722
11.83146134,4.2115054,3.6543272,10.381715,3.789118,4.030898,3.7887716,3.294357,3.673898,3.7447624,4.6994405,4.1089687,4.9316773,3.8476763,4.383938,3.3982592,3.720301,3.173708,4.1284556,4.414435,3.9854004
6.046156231,4.3299823,3.8168838,6.1140885,4.0845776,4.1024547,4.144884,3.474812,3.8929675,3.7951221,4.7228274,4.1462555,5.1773987,3.9559836,5.2519393,3.772858,3.8644922,3.208893,4.1776147,4.53922,4.110644
6.176581789,4.0254593,3.6605904,3.2482471,4.3170204,4.1275926,4.2327075,3.5866804,3.991764,3.8713121,4.7286453,4.1869097,4.852573,4.0015926,5.540548,4.006007,3.9382887,3.2400732,4.2221003,4.5927787,4.07291
6.325639569,3.844193,3.534353,3.2438512,4.44618,4.1420703,4.186646,3.6261008,4.004456,3.9410498,4.738256,4.2190247,4.586479,3.999374,5.4618454,4.0873766,3.9564085,3.2656274,4.251733,4.6092334,4.0363417
5.710776224,3.7656548,3.4943469,3.2238865,4.519593,4.1577063,4.149602,3.6439414,4.0008235,3.9987776,4.7498355,4.244536,4.5054584,3.990168,5.338826,4.109281,3.9609838,3.2888315,4.273024,4.6251287,4.02894
5.198390103,3.7319803,3.4667768,3.9001193,4.551738,4.169145,4.1133394,3.6503406,3.98699,4.0456276,4.758885,4.2632866,4.4586644,3.9760044,5.1890793,4.0953536,3.9571164,3.309877,4.288017,4.6330805,4.0219173
8.608086837,4.172513,3.8382304,10.129179,4.625731,4.2217526,4.2222233,3.7062914,4.038426,4.0936275,4.794068,4.2857537,4.7923403,4.004378,5.34521,4.1602845,3.9915614,3.334563,4.3101015,4.6880393,4.1414084
13.50836138,4.89114,5.844539,12.125887,4.8782306,4.33411,4.6265984,3.9012365,4.244326,4.1721654,4.8626423,4.337027,5.5351973,4.1419477,6.1658764,4.470033,4.1272597,3.3721693,4.364788,4.8537464,4.4060044
8.533557946,5.053925,6.7988205,6.912538,5.2130513,4.417719,4.9918685,4.1421924,4.4645596,4.286701,4.9131217,4.411417,5.765068,4.305878,6.980611,4.853938,4.282894,3.415499,4.439709,5.014768,4.5297227
7.797585154,4.7672725,6.247305,4.8901267,5.4481773,4.455646,5.072022,4.2888474,4.5615582,4.410521,4.945909,4.481634,5.459363,4.3955445,7.240802,5.0684133,4.363809,3.4530652,4.504726,5.090628,4.5009384
